71,ad3,"71 is reading personal ads, ad3 are personal ads"
71,184,71 read personal advert put in Time Out by 184
71,210,Both 71 and 210 live in Harrow
71,221,Both 71 and 221 live in Harrow
71,233,Both 71 and 233 live in Harrow
72,71,72 fancies 71
72,39,72 smells 39
72,71,72 thinks 71 smells
72,196,"72 works at London Television Centre, 196 works for London Weekend Television"
72,231,"72 works at London Television Centre, 231 is pretending to work at London Weekend Television and has a temporary pass"
73,19,73 is stepfather of 19
73,J,73 thinks he is sitting with Jesus
73,19,73 wants to kill 19
73,94,Both 73 and 94 are thinking of Andrew Lloyd Webber
74,136,"74 claimed her husband was an IRA informant and they don't know how to get him out now there is a ceasefire, 136 is thinking of visiting Northern Ireland now there is a ceasefire"
74,152,74 is being tailed by 152
74,126,Both 74 and 126 work at Epik Publications
108,ftnt108,108 visits Ghandi's statue every morning. ftnt108 describes the statue.
110,111,"110 pats the seat next to him, encouraging 111 to sit down next to him"
111,198,"110 suggests to 111 that she could get a qualification to teach English as a foreign language. 198 is trying to find a book that explains the use of English verbs in a way her foreign students might understand
"
111,182,"111 often goes to France, where her husband lives. 182 has just returned from a wedding in France"
145,110,110 moves his feet so that 145 can sit down
145,171,"145 is concerned about security, 171 works for a security firm"
145,193,145 is due to give a presentation to the Met Police. 193 is a policeman's daughter
145,213,"145 visited New Scotland Yard, 213 has a data licensing agreement with Scotland Yard"
145,91,"At New Scotland Yard, 145 saw surveillance cameras monitor someone getting on a bus. 91 is presumably now tracking the same person."
150,235,Both have copies of the FT
150,205,Both work for Pall Mall Oil
151,150,151 admires 150
151,176,151 talks to 176
193,192,"193 is watching 192 as he sleeps and then wakes up, suddenly"
193,206,They're having a tense whistling competition.
198,216,198 is in love with 216
198,23,"198 teaches at Bruenwalt International, where 23 is a student."
205,232,Both work for Pall Mall Oil
216,219,"216 is a taxi driver, 219 had an incident in a taxi recently"
235,102,Both have copies of the FT
